"word","meaning","pos","belong","pron_uk","pron_us"
"a","a","indefinite article","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/a__/a__gb/a__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/a__/a__us/a__us_2_rr.ogg"
"abandon","abandon","verb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/aba/aband/abandon__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aba/aband/abandon__us_2.ogg"
"ability","ability","noun","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abi/abili/ability__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abi/abili/ability__us_4.ogg"
"able","able","adjective","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abl/able_/able__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abl/able_/able__us_2.ogg"
"abolish","abolish","verb","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abo/aboli/abolish__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/aboli/abolish__us_1.ogg"
"abortion","abortion","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abo/abort/abortion__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/abort/abortion__us_1.ogg"
"about","about","adverb","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abo/about/about__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/about/about__us_1.ogg"
"about","about","preposition","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abo/about/about__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/about/about__us_1.ogg"
"above","above","adverb","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abo/above/above__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/above/above__us_2.ogg"
"above","above","preposition","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abo/above/above__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/above/above__us_2.ogg"
"abroad","abroad","adverb","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abr/abroa/abroad__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abr/abroa/abroad__us_4.ogg"
"absence","absence","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abs/absen/absence__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absen/absence__us_1.ogg"
"absent","absent","adjective","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abs/absen/absent__gb_4.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absen/absent__us_1.ogg"
"absolute","absolute","adjective","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abs/absol/absolute__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absol/absolute__us_1_rr.ogg"
"absolutely","absolutely","adverb","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abs/absol/absolutely__gb_6.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absol/absolutely__us_1_rr.ogg"
"absorb","absorb","verb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abs/absor/absorb__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absor/absorb__us_2_rr.ogg"
"abstract","abstract","adjective","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abs/abstr/abstract__gb_5.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/abstr/abstract__us_2_rr.ogg"
"absurd","absurd","adjective","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abs/absur/absurd__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absur/absurd__us_1_rr.ogg"
"abundance","abundance","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abu/abund/abundance__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abu/abund/abundance__us_1.ogg"
"abuse","abuse","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abu/abuse/abuse__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abu/abuse/abuse__us_3.ogg"
"abuse","abuse","verb","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/abu/abuse/abuse__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abu/abuse/abuse__us_1.ogg"
"academic","academic","adjective","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/aca/acade/academic__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aca/acade/academic__us_2.ogg"
"academic","academic","noun","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/aca/acade/academic__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aca/acade/academic__us_2.ogg"
"academy","academy","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/aca/acade/academy__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aca/acade/academy__us_1.ogg"
"accelerate","accelerate","verb","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accel/accelerate__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accel/accelerate__us_1.ogg"
"accent","accent","noun","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accen/accent__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accen/accent__us_1_rr.ogg"
"accept","accept","verb","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accep/accept__gb_3.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accep/accept__us_1.ogg"
"acceptable","acceptable","adjective","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accep/acceptable__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accep/acceptable__us_3.ogg"
"acceptance","acceptance","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/accep/acceptance__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accep/acceptance__us_1.ogg"
"access","access","noun","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/acces/access__gb_4.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/acces/access__us_2.ogg"
"access","access","verb","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/a/acc/acces/access__gb_4.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/acces/access__us_2.ogg"
